8000:
fs:8000, bits:8, err:0.000000, div:12, fdl:250, clk:24000000, real_fs:8000.000000
fs:8000, bits:8, err:0.000000, div:15, fdl:200, clk:24000000, real_fs:8000.000000
fs:8000, bits:8, err:0.000000, div:20, fdl:150, clk:24000000, real_fs:8000.000000
fs:8000, bits:8, err:0.000000, div:25, fdl:120, clk:24000000, real_fs:8000.000000
fs:8000, bits:8, err:0.000000, div:30, fdl:100, clk:24000000, real_fs:8000.000000
fs:8000, bits:8, err:0.000000, div:50, fdl:60, clk:24000000, real_fs:8000.000000 
fs:8000, bits:8, err:0.000000, div:60, fdl:50, clk:24000000, real_fs:8000.000000 
fs:8000, bits:16, err:0.000000, div:12, fdl:250, clk:24000000, real_fs:8000.000000
fs:8000, bits:16, err:0.000000, div:15, fdl:200, clk:24000000, real_fs:8000.000000
fs:8000, bits:16, err:0.000000, div:20, fdl:150, clk:24000000, real_fs:8000.000000
fs:8000, bits:16, err:0.000000, div:25, fdl:120, clk:24000000, real_fs:8000.000000
fs:8000, bits:16, err:0.000000, div:12, fdl:250, clk:24000000, real_fs:8000.000000
fs:8000, bits:16, err:0.000000, div:15, fdl:200, clk:24000000, real_fs:8000.000000
fs:8000, bits:16, err:0.000000, div:20, fdl:150, clk:24000000, real_fs:8000.000000
fs:8000, bits:16, err:0.000000, div:25, fdl:120, clk:24000000, real_fs:8000.000000
fs:8000, bits:16, err:0.000000, div:30, fdl:100, clk:24000000, real_fs:8000.000000
fs:8000, bits:16, err:0.000000, div:50, fdl:60, clk:24000000, real_fs:8000.000000
fs:8000, bits:16, err:0.000000, div:60, fdl:50, clk:24000000, real_fs:8000.000000
fs:8000, bits:20, err:0.000000, div:12, fdl:250, clk:24000000, real_fs:8000.000000
fs:8000, bits:20, err:0.000000, div:15, fdl:200, clk:24000000, real_fs:8000.000000
fs:8000, bits:20, err:0.000000, div:20, fdl:150, clk:24000000, real_fs:8000.000000
fs:8000, bits:20, err:0.000000, div:25, fdl:120, clk:24000000, real_fs:8000.000000
fs:8000, bits:20, err:0.000000, div:30, fdl:100, clk:24000000, real_fs:8000.000000
fs:8000, bits:20, err:0.000000, div:50, fdl:60, clk:24000000, real_fs:8000.000000
fs:8000, bits:20, err:0.000000, div:60, fdl:50, clk:24000000, real_fs:8000.000000
fs:8000, bits:24, err:0.000000, div:12, fdl:250, clk:24000000, real_fs:8000.000000
fs:8000, bits:24, err:0.000000, div:15, fdl:200, clk:24000000, real_fs:8000.000000
fs:8000, bits:24, err:0.000000, div:20, fdl:150, clk:24000000, real_fs:8000.000000
fs:8000, bits:24, err:0.000000, div:25, fdl:120, clk:24000000, real_fs:8000.000000
fs:8000, bits:24, err:0.000000, div:30, fdl:100, clk:24000000, real_fs:8000.000000
fs:8000, bits:24, err:0.000000, div:50, fdl:60, clk:24000000, real_fs:8000.000000
fs:8000, bits:24, err:0.000000, div:60, fdl:50, clk:24000000, real_fs:8000.000000
fs:8000, bits:32, err:0.000000, div:12, fdl:250, clk:24000000, real_fs:8000.000000
fs:8000, bits:32, err:0.000000, div:15, fdl:200, clk:24000000, real_fs:8000.000000
fs:8000, bits:32, err:0.000000, div:20, fdl:150, clk:24000000, real_fs:8000.000000
fs:8000, bits:32, err:0.000000, div:25, fdl:120, clk:24000000, real_fs:8000.000000
fs:8000, bits:32, err:0.000000, div:30, fdl:100, clk:24000000, real_fs:8000.000000
11025:
fs:11025, bits:8, err:9600.000000, div:16, fdl:136, clk:23990400, real_fs:11029.000000
fs:11025, bits:8, err:9600.000000, div:17, fdl:128, clk:23990400, real_fs:11029.000000
fs:11025, bits:8, err:9600.000000, div:32, fdl:68, clk:23990400, real_fs:11029.000000
fs:11025, bits:8, err:9600.000000, div:34, fdl:64, clk:23990400, real_fs:11029.000000
fs:11025, bits:16, err:9600.000000, div:16, fdl:136, clk:23990400, real_fs:11029.000000
fs:11025, bits:16, err:9600.000000, div:17, fdl:128, clk:23990400, real_fs:11029.000000
fs:11025, bits:16, err:9600.000000, div:32, fdl:68, clk:23990400, real_fs:11029.000000
